,lematized_tekst_en_titel_zonder_stopwords
0,"['merken', 'praktijk', 'inwoner', 'geweld', 'technologie', 'gemeente', 'mate', 'aanwezigheid', 'gemeente', 'uitdaging', 'kans', 'experts', 'gemeente', 'zorg', 'gemeente', 'thema', 'expertmeeting', 'gemeente', 'digitaal_stad', 'gemeenteraad', 'initiatief', 'stand', 'zaak', 'betreffen', 'digitaal_stad', 'uitdaging_kans', 'experts', 'deelen', 'gemeente', 'toepassing', 'betrek', 'burger', 'gemeente', 'onderzoeksdirecteur', 'wereld', 'mens', 'top', 'top', 'applicatie', 'black', 'dominantie', 'big', 'tech', 'waarde', 'extractie', 'kapitalisme', 'grip', 'manier', 'technologie', 'inzetten', 'stad', 'technologie', 'ontwerp', 'aantal', 'kernwaard', 'techstack', 'datum', 'contract_leverancier', 'renema', 'state', 'probleem', 'macht', 'aannames', 'project', 'publiek', 'waarde', 'model', 'mens', 'planeet', 'aandacht', 'inwoner', 'maatschappij', 'grip', 'digitalisering', 'praktijk', 'inwoner', 'geweld', 'technologie', 'aandacht', 'manier', 'inwoner', 'stem', 'belang', 'gemeente', 'spraak', 'transparantie', 'gemeenteraadstukken', 'vergadering', 'internet', 'transparantie', 'jesse', 'state', 'datum', 'meerwaran', 'doelstelling', 'geld', 'indelen', 'thema', 'koppelen', 'geld', 'zicht', 'stem', 'data', 'algoritmeregister', 'moment', 'informatie', 'privacyverklaring', 'onderzoeker', 'transparantie', 'rechtsbescherming', 'jaar', 'digitalisering', 'bestuursrechter', 'partij', 'overheid', 'achterstand', 'gebied', 'rechtsbescherming', 'doel', 'algoritmeregister', 'algoritmeregister', 'wens', 'moment', 'informatie', 'privacyverklaring', 'procesbeschrijving', 'burger', 'vertrouwen', 'inwoner', 'overheid', 'publiek', 'software', 'besluitvormingsprocess', 'manier', 'bedrijf', 'stap', 'vertrouwen', 'overheid', 'gelijkheid', 'deel', 'probleem', 'wereld', 'website', 'gemeente', 'hoor', 'antwoord', 'website', 'nicole', 'goedhart', 'proefschrift', 'ongelijkheid', 'logischerwijs', 'telefoon', 'laptop', 'computer', 'eis', 'apparaat', 'mens', 'telefoon', 'communicatie', 'school', 'telefoon', 'zoom', 'zoom', 'apparatuur', 'toegang', 'wifi', 'procent', 'toegang', 'internet', 'mens', 'hulpverlener', 'smartphoon', 'toegang', 'afstand', 'confronteren', 'wereld', 'blijfen', 'vertrouwen', 'dienst', 'gemeente', 'bijblijven', 'optie', 'mogelijkheid', 'uur', 'dag', 'scherm', 'mens', 'verpleging', 'buschauffeur', 'mogelijkheid', 'haven', 'complexiteit', 'ongelijkheid', 'kansenongelijkheid', 'vorm', 'ongelijkheid', 'verschil', 'mogelijkheid', 'leven', 'onderzoeker', 'probleem', 'verantwoordelijkheid', 'maatschappij', 'wereld', 'stad', 'wifi', 'toegang', 'apparatuur', 'mogelijkheid', 'kans', 'digitaal_stad', 'uitdaging_kans', 'deloiten', 'kans', 'digitalisering', 'dienst', 'mens', 'zaak', 'overheid', 'schaamte', 'probleem', 'armoede', 'gedrag', 'schaamte', 'mens', 'hulp', 'chatbot', 'bestaan', 'mens', 'gedachte', 'mens', 'hulpverlener', 'kans', 'soort', 'kanaal', 'kanalen', 'mogelijkheid', 'uitdaging_kans', 'randvoorwaran', 'overheid', 'overheid', 'cafn', 'caf', 'kanalen', 'charité', 'infrastructuur', 'bron']"
1,"['geld', 'uitvoering', 'cybersecurityen', 'kamerlid', 'gemeente', 'minister', 'duidelijkheid', 'kamerlid', 'minister', 'justitie', 'veiligheid', 'cybersecuritystrategie', 'vereniging', 'gemeente', 'aandacht', 'vragen', 'punt', 'uitvoeringscapaciteit', 'kamerlid', 'duidelijkheid', 'tijdpad', 'strategie', 'jaar', 'wegzakk', 'zinkgat', 'kamerlid', 'dekker', 'wegzakken', 'dekker', 'cybersecuritystrategie', 'veiligheid', 'uitvoering', 'kamerlid', 'vragen', 'gemeente', 'ambitie', 'waarmaak', 'vereniging', 'gemeente', 'aanloop', 'debat', 'minister', 'ambitieus', 'strategie', 'rijksstrategie', 'uitvoeringscapaciteit', 'gemeente', 'veiligheidsstelsel', 'rol', 'informatiepositie', 'gemeente', 'pleuris', 'kamerlid', 'duidelijkheid', 'kritiek', 'raad', 'cyberweerbaarheid', 'land', 'chefsach', 'raadlid', 'cybersecuritystrategie', 'jaar', 'duidelijkheid', 'stap', 'collega', 'minister', 'geval', 'pleuris', 'oefening', 'eind', 'begin', 'crisis', 'wereld', 'weerbaarheid', 'gemeente', 'wijze', 'ministerie', 'koepelorganisatie', 'ministerie', 'afspraak', 'weerbaarheid', 'afspraak', 'week', 'verwachting', 'gemeente', 'partner', 'inzicht', 'minister', 'plan', 'strategie', 'einde', 'jaar', 'Kamer', 'begin', 'jaar', 'organogram', 'inzicht', 'cybersecuritystrategie', 'monitorden', 'oefening', 'gevolg', 'wereld', 'partner']"
2,"['uitdaging', 'redactie', 'bestuur', 'tekst', 'uitdaging_gemeente_2023', 'vernieuwen', 'chatbot', 'mail', 'vraag', 'tekst', 'tekst', 'proef', 'redactie', 'bestuur', 'proef', 'som', 'tekst', 'hand', 'opdracht', 'tekst', 'woord', 'minuut', 'chatbot', 'tekst', 'opdracht', 'redacteur', 'bestuur', 'chatbot', 'stuk', 'school', 'behouden', 'tekst', 'hand', 'diepgang', 'redacteur', 'indruk', 'artikel', 'chatbot', 'samenvatting', 'middelbaar', 'school', 'bedreiging', 'gevoel', 'chatbot', 'bedreiging', 'baan', 'artikel', 'stuk', 'tekst', 'tekst', 'idee', 'tekst', 'opdracht', 'opdracht', 'tekst', 'opdracht', 'tekst', 'woord', 'tekst', 'tal', 'uitdaging', 'financi', 'stabiliteit', 'uitdaging', 'tijd', 'gemeente', 'tijd', 'vergrijzing', 'gemeente', 'dienst', 'uitdaging', 'gemeente', 'cohesie', 'gemeente', 'diversiteit', 'samenleving', 'besluitvorming', 'klimaatverandering', 'rol', 'besluitvorming', 'gemeente', 'gemeente', 'bijdrage', 'doelstelling', 'klimaatakkoord', 'uitstoot', 'energie', 'mobiliteit', 'slot', 'gemeente', 'tijd', 'ontwikkeling', 'gebied', 'gemeente_blijven_zoeken_manier', 'dienstverlening', 'gebruik', 'technologie', 'dienstverlening', 'uitdaging', 'gemeente', 'organisatie', 'gemeente_blijven_zoeken_manier', 'medewerker', 'uitdaging']"
3,"['verhoging', 'ict', 'belangenbehartiger', 'verantwoordelijkheid', 'kwestie', 'praktijk', 'eenzijdig_tariefsverhoging', 'opleggen', 'gemeente', 'gemeente', 'contract_leverancier', 'confronteren', 'ict', 'afspraak', 'leverancier', 'aanpassing', 'prijsniveaus', 'belangenbehartiger', 'verantwoordelijkheid', 'kwestie', 'gemeente', 'gemeente', 'modelbrief', 'beschikbaar_stellen', 'gemeente', 'tariefsaanpassing', 'overeenkomen', 'contract', 'afwijzen', 'stap', 'ict', 'afnemer', 'onderbouwing', 'brief', 'leverancier', 'mening', 'sluiten', 'overeenkomst', 'risico', 'prijsstijging', 'situatie', 'concreet', 'advies', 'maand', 'vraag', 'kwestie', 'vereniging', 'lid', 'eenzijdig_tariefsverhoging', 'woordvoerder', 'groep', 'gemeente', 'bericht', 'percentage', 'leverancier', 'informatie', 'leverancier', 'overzicht', 'leverancier', 'informatie', 'gemeente', 'vereniging', 'prijsverhoging', 'woordvoerder', 'leverancier', 'basis', 'gibit', 'inkoop', 'toolbox', 'tarief', 'inzicht', 'advies', 'ontwikkelen', 'modelbrief', 'vereniging', 'melding', 'vragen', 'gemeente', 'modelbrief', 'contract_leverancier', 'gemeente', 'inzicht', 'begin', 'week', 'keer', 'kant', 'ict', 'afnemer', 'hulp', 'gemeente', 'bak', 'gebruikersvereniging', 'ict', 'product', 'dienst', 'vereniging', 'gemeente', 'rol', 'kwestie', 'opleggen', 'leverancier', 'last', 'kant', 'geluid', 'partij', 'energieprijzen', 'factor', 'lid', 'last', 'inflatie', 'naam', 'personeelskost', 'combineren', 'moeilijk_situatie', 'contract', 'moeilijk_situatie', 'nl_digital', 'wagen', 'oordeel', 'kwestie', 'eenzijdig_tariefsverhoging', 'ict_leverancier', 'kosten', 'vereniging', 'brancheniveau', 'woordvoerder', 'mededingingsregel', 'belang', 'continu_teit', 'bedrijf', 'klant', 'woordvoerder', 'incident', 'kwestie', 'vereniging', 'discussie', 'tarief', 'advies', 'gemeente', 'softwareleverancier', 'oproepen', 'oproep', 'belang', 'continu_teit', 'dienstverlening', 'gesprek', 'situatie', 'gesprek', 'gesprek', 'onderbouwing', 'tariefsverhoging', 'schorten', 'onderbouwing', 'gemeente', 'verkenning', 'gesprek', 'leverancier', 'aanpassing', 'overeenkomst', 'tijd', 'afspraken', 'overeenkomen', 'overeenkomst', 'bron']"
4,"['pedagogisch_basis', 'relatie', 'buurt', 'familie', 'school', 'kinderopvang', 'po', 'raad', 'kinderopvang', 'basis', 'samenwerking', 'vraag', 'probleem', 'notitie', 'basis', 'samenwerking', 'focus', 'ontwikkeling', 'kind', 'prestatiesamenleving', 'individu', 'model', 'omgeving', 'plaats', 'omgeving', 'omgeving', 'investeren', 'versterking', 'pedagogisch_basis', 'lijn', 'jeugd', 'onderwijsprofessionals', 'jeugdhulptraject', 'school', 'kinderopvang', 'aanpak', 'kind', 'basisvoorzieningen', 'school', 'kinderopvang', 'sport', 'cultuur', 'activiteit', 'opleid', 'aandacht', 'onderwijs', 'plek', 'lijn', 'aanknopingspunt', 'aanpak', 'probleem', 'ambitie', 'probleem', 'praktijk', 'praktijk', 'video', 'aanpak', 'chris', 'raad', 'raad', 'ypma', 'woord', 'belang', 'samenwerking', 'jeugdinstituut']"
5,"['gemeente', 'zee', 'gemeente', 'jaar', 'aantal', 'herindeling', 'gemeente', 'zee']"
6,"['focus', 'bestrijden', 'rondreizen', 'bende', 'dinsdag_20_december_2022', 'Mobiel_banditisme', 'privaat', 'partij', 'samenwerking', 'criminaliteit', 'rondreizen', 'bende', 'bestraffen', 'bewustwording', 'partij', 'punt', 'gemeente', 'bestuur', 'handelingsperspectief', 'informatie', 'uitwisseling', 'politie', 'aandacht', 'toepassing', 'banditisme', 'partij', 'ministerie', 'politie', 'marechaussee', 'immigratie', 'naturalisatiedienst', 'gemeente', 'naam', 'enschede', 'detailhandel', 'transport', 'logistiek', 'centrum', 'criminaliteitspreventie', 'veiligheid', 'resultaat', 'partij', 'rol', 'bestrijding', 'Mobiel_banditisme', 'kracht', 'winkelier', 'mobiel_bende', 'straf', 'gemeente', 'misbruik', 'focus', 'voortzetting', 'bestrijding', 'opheffen', 'aanjagen', 'artikel']"
7,"['dinsdag_20_december_2022', 'bestuur', 'ontwikkeling', 'gemeente', 'slag', 'gemeente', 'cao', 'overleg', 'bestuur', 'afspraak', 'uitkering', 'bekrachtigen', 'cao', 'thuiswerkvergoeding', 'loop', 'bijeenkomst', 'college', 'bod', 'onderhandelingsdelegatie', 'bliken', 'bod', 'peilen', 'achterban', 'tegenbod', 'college', 'vakbond', 'kiezen', 'vergadering', 'middag', 'overleg', 'kamer', 'arbeid', 'slag', 'situatie', 'slag', 'gesprek', 'voorzitter', 'gesprek', 'minister', 'bonen', 'gesprek', 'college', 'uitkering', 'maatregel']"
8,"['indexering', 'jeugdwet', 'jeugdwet', 'jaar', 'ndexeeren', 'hoogte', 'indexatie', 'sociaal_domein', 'percentage', 'toepassen', 'percentage', 'zorgautoriteit', 'percentage', 'arbeidskostenontwikkeling', 'prijsindexcijfer', 'index', 'rekening_houden', 'loon', 'prijsontwikkelingen', 'moment', 'gemeente', 'actualisatie', 'advies', 'percentage', 'indexeur', 'contract', 'aankondigen', 'kabinet', 'ruimte', 'index', 'actualisatie', 'plaats', 'inflatie', 'energie', 'jaar', 'gemeente', 'actualisatie', 'stijgen', 'welzijn', 'zorg', 'vragen', 'gemeente', 'indexering', 'toepassing', 'percentage', 'rekening_houden', 'welzijn', 'zorg', 'aanbieders', 'stijging', 'minimumloon', 'artikel', 'indexering', 'kosten', 'jeugdwet', 'wmo', 'indexatie', 'sociaal_domein', 'compensatie', 'sociaal_domein']"
9,"['anticipeer', 'gevolg_extreem', 'maandag_19_december_2022', 'overheden', 'gevolg_extreem', 'beleidstafel', 'water', 'commissie', 'slag', 'zomer', 'regenval', 'concluderen', 'gevolg', 'klimaatverandering', 'inzicht', 'gebied', 'gemeente', 'prioriteit', 'verschillen', 'gemeente', 'vervolgactie', 'hand', 'gebiedsprocess', 'inzicht', 'uitvoeringsconditie', 'kennis', 'mens', 'partij', 'inwoner', 'stap', 'gemeente', 'meenemen', 'provincie', 'plek', 'risico', 'basis', 'gemeente', 'gebied', 'functie', 'ziekenhuis', 'stap', 'extreem_neerslag', 'opgave', 'aanpakken', 'eindadvie', 'partij', 'slag', 'uitvoering', 'extreem_neerslag', 'uitdaging', 'droogte', 'transitie', 'gebied', 'gemeente', 'belang', 'provincie', 'normering', 'aanpak', 'risico', 'gevolg', 'eigenschappen', 'water', 'inrichting', 'gebied', 'informatie', 'eindadvie', 'beleidstafel', 'overstroming', 'publiekssamenvatting', 'advies']"
